Label,modularity_class
[H][C]1([H])[O]([O][OH])[C]1([H])[H],4
[H][C]1([H])[O]([OH])[C]1([H])[H].[OH2],2
[H][C]1([H])[O][C]([H])([H])[O]1[OH],3
[H][C]1([H])[O][C]1([H])[H].[O]=[O],2
[H][C]1([H])[O][C]1([H])[H].[OH2].[OH2],4
[H][C]1([H])[O][O]([OH])[C]1([H])[H],4
[H][C]1([H])[O][O][C]([H])([H])[O]1,3
[H][C]1([H])[O][O][O][C]1([H])[H],4
[H][C]1([H])[O][O]2[O][CH]21.[H][H],1
[H][C]1([H])[O][O]2[O]1[C]2([H])[H],2
[H][C]1([H])[O]=[O][C]1([H])[H].[OH2],2
[H][C]1([H])[O]2[O][C]21[H].[H][OH],4
[H][C]1([H])[O]2[O][O]1[C]2([H])[H],2
[H][C]1([H])[O]2[O][O]2[C]1([H])[H],0
[H][C]1([H])[O]2[O]1[C]2([H])[H].[OH2],3
[H][C]1=[C]([H])[O]([OH])[O]1.[H][H],2
[H][C]1=[C]([H])[O][O][O]1.[H][H],2
[H][C]1=[C]([H])[O]=[O]1.[H][H].[OH2],4
[H][C]1=[C]([H])[O]1.[H][H].[O]=[O],4
[H][C]1=[C]([H])[O]1[O][OH].[H][H],2
[H][C]1=[O][C]1([H])[H].[H][O][OH],2
[H][C]1=[O][O]([H])[C]1([H])[H].[OH2],2
[H][C]1=[O][O][C]1([H])[H].[H][OH],2
[H][C]1=[O][O]=[C]1[H].[H][H].[OH2],4
[H][CH]([CH3])[O][O]([H])[OH].[H][H],1
[H][CH]([H])[C]([H])([H])[O]([OH])[OH],2
[H][CH]([H])[C]([H])([H])[O][O]=[O],2
[H][CH]([H])[C]([H])([H])[O][OH].[OH2],4
[H][CH]([H])[C]([H])([H])[O]=[O].[OH2],4
[H][CH]([H])[C]([H])([H])[O]=[O][OH],2
[H][CH]([H])[C]([H])([H])[O]1[O][O]1,0
[H][CH]([H])[C]([H])([H])[OH].[O]#[O],4
[H][CH]([H])[C]([H])([H])[OH].[O]=[O],4
[H][CH]([H])[C]([H])([H])[OH].[OH2].[OH2],2
[H][CH]([H])[C]([H])([OH])[O]([H])[OH],2
[H][CH]([H])[C]([H])([OH])[OH].[H][OH],4
[H][CH]([H])[C]1([H])[O]([H])[O]1[OH],4
[H][CH]([H])[C]1([H])[O][O]([H])[O]1,4
[H][CH]([H])[C]1([H])[O][O][O]1[H],4
[H][CH]([H])[C]1([H])[O][O]1[H].[OH2],2
[H][CH]([H])[C]1([H])[O]=[O]1.[H][OH],4
[H][CH]([H])[C]1([H])[O]2[O]([H])[O]21,0
[H][CH]([H])[C]12[O][O]1[O]2.[H][H],1
[H][CH]([H])[CH]([H])[H].[OH2].[OH2].[OH2],4
[H][CH]([H])[CH]([H])[O]([H])[OH].[OH2],4
[H][CH]([H])[CH]([H])[O]1[O][O]1[H],0
[H][CH]([H])[CH]([H])[OH].[H][OH].[OH2],2
[H][CH]([H])[CH]1[O]([H])[O][O]1[H],1
[H][CH]([H])[CH]1[O][O]([H])[O]1[H],1
[H][CH]([H])[CH]1[O][O]1[O]([H])[H],1
[H][CH]([H])[CH]1[O]2[O][O]12.[H][H],1
[H][CH]([H])[CH2][O]([H])[OH].[H][OH],1
[H][CH]([H])[CH2][O]([OH])[OH].[H][H],1
[H][CH]([H])[CH2][O][OH].[H][H].[OH2],2
[H][CH]([H])[CH2][O]1[O]([H])[O]1[H],1
[H][CH]([H])[CH2][OH].[H][H].[OH2].[OH2],1
[H][CH]([H])[CH3].[H][H].[OH][O][OH],2
[H][CH]([H])[CH3].[H][H].[OH2].[OH][OH],1
[H][CH]([H])[CH3].[H][H].[OH2].[OH2].[OH2],2
[H][CH]([H])[CH3].[H][O]([H])[OH].[OH2],2
[H][CH]([H])[CH3].[H][O][H].[OH2].[OH2],1
[H][CH]([H])[CH3].[H][O][O]([H])[OH],1
[H][CH]([H])[CH3].[H][O][O][H].[OH2],2
[H][CH]([H])[CH3].[H][OH].[H][O][OH],2
[H][CH]([H])[CH3].[H][OH].[H][OH].[OH2],1
[H][CH]([H])[H].[H][C](=[O])[O]=[O],0
[H][CH]([H])[H].[H][C]#[O].[O]=[O],0
[H][CH]([H])[H].[H][C]1=[O][O][O]1,2
[H][CH]([H])[H].[H][C]1=[O][O]1.[OH2],0
[H][CH]([H])[H].[H][C]1=[O][O]1[OH],0
[H][CH]([H])[H].[H][C]12[O][O]1[O]2,0
[H][CH]([H])[H].[H][CH]=[O][O][OH],0
[H][CH]([H])[H].[H][CH]=[O][O]=[O],0
[H][CH]([H])[H].[H][CH]1[O][O]=[O]1,0
[H][CH]([H])[H].[H][CH]1[O][O]1.[OH2],0
[H][CH]([H])[H].[H][CH]1[O]2[O][O]12,0
[H][CH]([H])[H].[H][O]([CH3])[O][OH],1
[H][CH]([H])[H].[H][O]([CH3])[O]=[O],0
[H][CH]([H])[H].[H][O]([OH])[O][CH3],1
[H][CH]([H])[H].[H][O]([OH])[O]=[CH2],0
[H][CH]([H])[H].[H][O][O]([CH3])[OH],1
[H][CH]([H])[H].[H][O][O]=[O][CH3],0
[H][CH]([H])[H].[H][O]=[O][O][CH3],0
[H][CH]([H])[H].[H][O]=[O][O]=[CH2],1
[H][CH]([H])[O]([CH3])[O][OH].[H][H],4
[H][CH]([H])[O]([CH3])[O]=[O].[H][H],3
[H][CH]([H])[O]([H])[O]1[O][CH]1[H],3
[H][CH]([H])[O]([H])[OH].[H][C]#[O],3
[H][CH]([H])[O]([O][OH])[CH]([H])[H],2
[H][CH]([H])[O]([O]=[O])[CH]([H])[H],2
[H][CH]([H])[O]([OH])[C]([H])([H])[OH],2
[H][CH]([H])[O]([OH])[CH]([H])[H].[OH2],3
[H][CH]([H])[O]([OH])[O][CH3].[H][H],1
[H][CH]([H])[O]([OH])[O]=[CH2].[H][H],1
[H][CH]([H])[O][C]([H])([H])[OH].[OH2],3
[H][CH]([H])[O][CH]([H])[H].[OH2].[OH2],2
[H][CH]([H])[O][O]([CH3])[OH].[H][H],1
[H][CH]([H])[O][O]=[O][CH]([H])[H],2
[H][CH]([H])[O][O]1[CH]([H])[O]1[H],3
[H][CH]([H])[O][O]1[O][C]1([H])[H],3
[H][CH]([H])[O]=[O].[H][CH]=[O][H],3
[H][CH]([H])[O]=[O][O]=[CH2].[H][H],1
[H][CH]([H])[O]1[CH]([H])[O][O]1[H],3
[H][CH]([H])[O]1[O]([OH])[C]1([H])[H],3
[H][CH]([H])[O]1[O][C]([H])([H])[O]1,3
[H][CH]([H])[O]1[O][C]1([H])[H].[OH2],2
[H][CH]([H])[O]1[O][O]([H])[CH]1[H],3
[H][CH]([H])[O]1[O][O][C]1([H])[H],3
[H][CH]([H])[O]1[O][O]1[CH]([H])[H],3
[H][CH]([H])[O]1[O]2[O]1[C]2([H])[H],2
[H][CH]([H])[OH].[H][C]([H])([OH])[OH],3
[H][CH]([H])[OH].[H][CH]([H])[OH].[OH2],2
[H][CH]([O]([H])[OH])[C]([H])([H])[OH],2
[H][CH]([O]([OH])[OH])[C]([H])([H])[H],0
[H][CH]([O][OH])[C]([H])([H])[H].[OH2],0
[H][CH]([O]1[O][O]1)[C]([H])([H])[H],0
[H][CH]([OH])[C]([H])([H])[H].[OH2].[OH2],0
[H][CH]([OH])[C]([H])([H])[OH].[H][OH],4
[H][CH]=[C]([H])[H].[H][O][O]=[O],4
[H][CH]=[C]([H])[H].[H][O]=[O][OH],4
[H][CH]=[C]([H])[H].[H][O]1[O][O]1,0
[H][CH]=[C]([H])[H].[H][OH].[O]#[O],2
[H][CH]=[C]([H])[O]([H])[H].[O]=[O],4
[H][CH]=[C]([H])[O]([H])[O]([H])[OH],2
[H][CH]=[C]([H])[O]([H])[O][O][H],2
[H][CH]=[C]([H])[O]([O][H])[O][H],2
[H][CH]=[C]([H])[O]([OH])[O]([H])[H],2
[H][CH]=[C]([H])[O][H].[H][O]=[O],4
[H][CH]=[C]([H])[O][O]([H])[O][H],2
[H][CH]=[C]([H])[O][O][O]([H])[H],2
[H][CH]=[C]([H])[O][O]=[O].[H][H],4
[H][CH]=[C]([H])[O]=[O].[H][O][H],4
[H][CH]=[C]([H])[O]=[O][H].[H][OH],4
[H][CH]=[C]([H])[O]=[O][OH].[H][H],4
[H][CH]=[C]([H])[O]1[O][O]1.[H][H],2
[H][CH]=[C]([H])[OH].[H][H].[O]#[O],2
[H][CH]=[C]([H])[OH].[H][O]=[O][H],4
[H][CH]=[O].[H][O][O]=[C]([H])[H],3
[H][CH]=[O].[H][O]=[O][CH]([H])[H],3
[H][CH]=[O][C]([H])([H])[H].[O]=[O],3
[H][CH]=[O][CH]([H])[H].[H][O]=[O],3
[H][CH]=[O][H].[H][C]([H])=[O][OH],3
[H][CH]=[O][O]([H])[CH]([H])[H].[OH2],3
[H][CH]=[O][O]([H])[O][CH]([H])[H],2
[H][CH]=[O][O]([O][H])[CH]([H])[H],2
[H][CH]=[O][O]([OH])[C]([H])([H])[H],2
[H][CH]=[O][O][H].[H][C]([H])=[O],3
